english,spanish
the,el
be,ser
to,a
of,de
and,y
a,un
in,en
that,que
have,tener
I,yo
it,eso
for,para
not,no
on,en
with,con
he,él
as,como
you,tú
do,hacer
at,en
this,esto
but,pero
his,su
by,por
from,de
they,ellos
we,nosotros
say,decir
her,ella
she,ella
or,o
an,un
will,hará
my,mi
one,uno
all,todo
would,haría
there,ahí
their,su
is,es
are,son
was,fue
were,fueron
been,sido
has,ha
had,había
can,poder
could,podría
should,debería
may,puede
might,podría
what,qué
which,cuál
who,quién
when,cuándo
where,dónde
why,por qué
how,cómo
if,si
because,porque
about,sobre
into,dentro
over,sobre
after,después
before,antes
between,entre
under,debajo
again,de nuevo
still,aún
very,muy
just,solo
also,también
even,incluso
most,más
some,algunos
many,muchos
few,pocos
other,otro
new,nuevo
good,bueno
bad,malo
first,primero
last,último
long,largo
little,pequeño
big,grande